System_Name,Branch_Name,City ,Lat,Lon
Milton Public Library,Beaty Branch,Milton,43.519188,-79.830408
Burnaby Public Library,Bob Prittie Metrotown Branch,Burnaby,49.228683,-123.006456
Burnaby Public Library,Cameron,Burnaby,49.253462,-122.899745
Burnaby Public Library,Tommy Douglas Branch,Burnaby,49.281898,-123.000644
Burnaby Public Library,McGill,Burnaby,49.218365,-122.953688
Coquitlam Public Library,Poirier Branch,Coquitlam,49.253185,-122.846541
Coquitlam Public Library,City Centre Branch,Coquitlam,49.284268,-122.79557
Coquitlam Public Library,Library Link,Coquitlam,49.284268,-122.79555
Barrie Public Library,Downtown Branch,Barrie,44.391923,-79.688384
Barrie Public Library,Painswick Branch,Barrie,44.354354,-79.647471
Calgary Public Library,W.R. Castell Central Library,Calgary,51.0470276,-114.0578995
Calgary Public Library,Alexander Calhoun Library,Calgary,51.0255318,-114.0947876
Calgary Public Library,Bowness Library,Calgary,51.0872841,-114.1830978
Calgary Public Library,Fish Creek Library,Calgary,50.9516296,-114.0603409
Calgary Public Library,Forest Lawn Library,Calgary,51.045105,-113.9652023
Calgary Public Library,Glenmore Square Library,Calgary,50.9835968,-114.0141449
Calgary Public Library,Louise Riley Library,Calgary,51.0652428,-114.1038132
Calgary Public Library,Memorial Park Library,Calgary,51.0412674,-114.0683823
Calgary Public Library,Nose Hill Library,Calgary,51.0960922,-114.1391296
Calgary Public Library,Shawnessy Library,Calgary,50.8986015,-114.062851
Calgary Public Library,Signal Hill Library,Calgary,51.0181122,-114.1756439
Calgary Public Library,Southwood Library,Calgary,50.963623,-114.0860367
Calgary Public Library,Judith Umbach Library,Calgary,51.1121979,-114.0633087
Calgary Public Library,Village Square Library,Calgary,51.0753708,-113.9525833
Calgary Public Library,Crowfoot Library,Calgary,51.1295815,-114.1926956
Calgary Public Library,Country Hills Library,Calgary,51.159462,-114.0675659
Calgary Public Library,Saddletowne Library,Calgary,51.1196709,-113.9485092
Calgary Public Library,Westbrook Library,Calgary,51.0404778,-114.138237
Edmonton Public Library,Woodcroft (Westmount),Edmonton,53.5637555,-113.5538643
Edmonton Public Library,Riverbend,Edmonton,53.4683942,-113.5837689
Edmonton Public Library,Enterprise Square (Downtown),Edmonton,53.541194,-113.496835
Edmonton Public Library,Jasper Place,Edmonton,53.5232259,-113.5903997
Edmonton Public Library,Lois Hole (Callingwood),Edmonton,53.5037705,-113.6260742
Edmonton Public Library,Highlands,Edmonton,53.57058,-113.44505
Edmonton Public Library,Meadows,Edmonton,53.457502,-113.370389
Edmonton Public Library,Abbottsfield - Penny McKee,Edmonton,53.5704509,-113.3915179
Edmonton Public Library,Sprucewood,Edmonton,53.5666547,-113.4871741
Edmonton Public Library,Strathcona,Edmonton,53.5194554,-113.4974797
Edmonton Public Library,West Henday Promenade (Lewis Estates),Edmonton,53.52349,-113.667354
Edmonton Public Library,Castle Downs,Edmonton,53.6157356,-113.5166333
Edmonton Public Library,Clareview,Edmonton,53.601302,-113.401769
Edmonton Public Library,Londonderry,Edmonton,53.603432,-113.445778
Edmonton Public Library,Capilano,Edmonton,53.5378963,-113.4199269
Edmonton Public Library,McConachie,Edmonton,53.62794,-113.411279
Edmonton Public Library,Idylwylde (Bonnie Doon),Edmonton,53.5235044,-113.4593749
Edmonton Public Library,Whitemud Crossing,Edmonton,53.4794861,-113.5041223
Edmonton Public Library,Heritage Valley,Edmonton,53.40748,-113.537569
Edmonton Public Library,Mill Woods,Edmonton,53.4554447,-113.4343797
Edmonton Public Library,Calder,Edmonton,53.590515,-113.542369
Bibliotheque Municipale de Gatineau,Bibliothèque Jean-Marie-Caron,Gatineau,45.524587,-75.488303
Bibliotheque Municipale de Gatineau,Bibliothèque Aurélien-Doucet,Gatineau,45.46025,-75.766829
Bibliotheque Municipale de Gatineau,Bibliothèque Bernard-Lonergan,Gatineau,45.590279,-75.411228
Bibliotheque Municipale de Gatineau,Bibliothèque Guy-Sanche (anciennement Bowater),Gatineau,45.483931,-75.682175
Bibliotheque Municipale de Gatineau,Bibliothèque Docteur-Jean-Lorrain,Gatineau,45.48892,-75.60269
Bibliotheque Municipale de Gatineau,Bibliothèque Lucien-Lalonde,Gatineau,45.44249,-75.735437
Bibliotheque Municipale de Gatineau,Bibliothèque Lucy-Faris,Gatineau,45.395037,-75.844521
Bibliotheque Municipale de Gatineau,Bibliothèque de la Maison-du-Citoyen,Gatineau,45.428083,-75.710755
Bibliotheque Municipale de Gatineau,Bibliothèque Manise-Morin,Gatineau,45.544025,-75.415868
Bibliotheque Municipale de Gatineau,Bibliothèque de Riviera,Gatineau,45.470783,-75.724124
Guelph Public Library,West End,Guelph,43.524409,-80.292392
Guelph Public Library,Scottsdale,Guelph,43.514929,-80.237733
Guelph Public Library,Westminster Square,Guelph,43.502687,-80.187831
Guelph Public Library,Main Library,Guelph,43.545634,-80.252836
Guelph Public Library,Bullfrog Mall,Guelph,43.561557,-80.249938
Guelph Public Library,East Side,Guelph,43.566514,-80.212197
Hamilton Public Library,Ancaster Library,Hamilton,43.22530917,-79.97666063
Hamilton Public Library,Barton Library,Hamilton,43.2580317,-79.84121898
Hamilton Public Library,Binbrook Library,Hamilton,43.12170438,-79.80342947
Hamilton Public Library,Carlisle Library,Hamilton,43.39605339,-79.98108621
Hamilton Public Library,Concession Library,Hamilton,43.2410416,-79.85136825
Hamilton Public Library,Dundas Library,Hamilton,43.26548389,-79.95494871
Hamilton Public Library,Hamilton Central Library,Hamilton,43.25894156,-79.87069972
Hamilton Public Library,Kenilworth Library,Hamilton,43.24349824,-79.80884163
Hamilton Public Library,Locke Library,Hamilton,43.25182285,-79.88702204
Hamilton Public Library,Mount Hope Library,Hamilton,43.16057987,-79.9120622
Hamilton Public Library,Red Hill Library,Hamilton,43.23028211,-79.77194472
Hamilton Public Library,Saltfleet Library,Hamilton,43.22229245,-79.74507509
Hamilton Public Library,Sherwood Library,Hamilton,43.22656913,-79.82861769
Hamilton Public Library,Terryberry Library,Hamilton,43.23031428,-79.88674908
Hamilton Public Library,Valley Park Library,Hamilton,43.19309594,-79.79790001
Hamilton Public Library,Waterdown Library,Hamilton,43.3236294,-79.90479819
Hamilton Public Library,Westdale Library,Hamilton,43.26256862,-79.90347677
Hamilton Public Library,Stoney Creek Library,Hamilton,43.21286435,-79.6914053
Hamilton Public Library,Turner Park Library,Hamilton,43.19846705,-79.87862786
Hamilton Public Library,Lynden Library,Hamilton,43.23656021,-80.14659537
Hamilton Public Library,Freelton Library,Hamilton,43.39793341,-80.03876645
Hamilton Public Library,Greensville Library,Hamilton,43.27528027,-79.99612469
Kingston Frontenac Public Library,Central Branch,Kingston," 44.22958542507643]}"";44.2295854251",-76.48461525
Kingston Frontenac Public Library,Calvin Park Branch,Kingston," 44.238716492199394]}"";44.2387164922",-76.51773298
Kingston Frontenac Public Library,Pittsburgh Branch,Kingston," 44.259564520719394]}"";44.2595645207",-76.46130548
Kingston Frontenac Public Library,Isabel Turner Branch,Kingston," 44.25453518884492]}"";44.2545351888",-76.57167364
Bibliotheque Ville de Laval,Bibliotheque Emile-Nelligan,Laval,45.5521693,-73.70786895
Bibliotheque Ville de Laval,Bibliotheque Gabrielle-Roy,Laval,45.57767869,-73.81057226
Bibliotheque Ville de Laval,Bibliotheque Germaine-Guevremont,Laval,45.59097657,-73.66962923
Bibliotheque Ville de Laval,Bibliotheque Laure-Conan,Laval,45.6157597,-73.74072336
Bibliotheque Ville de Laval,Bibliotheque Marius-Barbeau,Laval,45.67759425,-73.58208868
Bibliotheque Ville de Laval,Bibliotheque Multiculturelle,Laval,45.55291699,-73.74721235
Bibliotheque Ville de Laval,Bibliotheque Philippe-Panneton,Laval,45.55251471,-73.86900361
Bibliotheque Ville de Laval,Bibliotheque Sylvain-Garneau,Laval,45.61538067,-73.78493513
Bibliotheque Ville de Laval,Bibliotheque Yves-Theriault,Laval,45.52854145,-73.82078586
Mississauga Library System,PORT CREDIT LIBRARY,Mississauga,43.55165677,-79.58644557
Mississauga Library System,CHURCHILL MEADOWS LIBRARY,Mississauga,43.55305869,-79.74674046
Mississauga Library System,MEADOWVALE COMMUNITY CENTRE LIBRARY,Mississauga,43.58594044,-79.75612285
Mississauga Library System,CENTRAL LIBRARY(CUSTOMER SERVICE CENTRE),Mississauga,43.58756746,-79.6436233
Mississauga Library System,ERIN MEADOWS LIBRARY,Mississauga,43.55683561,-79.71736732
Mississauga Library System,COURTNEYPARK LIBRARY,Mississauga,43.62394926,-79.71060814
Mississauga Library System,MALTON LIBRARY,Mississauga,43.72339122,-79.63840501
Mississauga Library System,FRANK MCKECHNIE LIBRARY,Mississauga,43.61657219,-79.65345514
Mississauga Library System,CLARKSON LIBRARY,Mississauga,43.5114978,-79.65047423
Mississauga Library System,COOKSVILLE LIBRARY,Mississauga,43.5805276,-79.61768078
Mississauga Library System,MISSISSAUGA VALLEY LIBRARY,Mississauga,43.59702618,-79.62434172
Mississauga Library System,SHERIDAN LIBRARY,Mississauga,43.53055319,-79.65312591
Mississauga Library System,SOUTH COMMON LIBRARY,Mississauga,43.54219912,-79.68443424
Mississauga Library System,WOODLANDS LIBRARY,Mississauga,43.56272095,-79.64952322
Mississauga Library System,STREETSVILLE LIBRARY,Mississauga,43.58373491,-79.71693364
Mississauga Library System,LAKEVIEW LIBRARY,Mississauga,43.58339793,-79.56326242
Mississauga Library System,LORNE PARK LIBRARY,Mississauga,43.53100605,-79.62766974
Mississauga Library System,BURNHAMTHORPE LIBRARY,Mississauga,43.62100671,-79.60304373
Mississauga Library System,Bibliotheque d'Ahuntsic,Montreal,45.5539209,-73.6637745
Mississauga Library System,Bibliotheque de Belleville,Montreal,45.5819491,-73.6421957
Mississauga Library System,Bibliotheque Benny,Montreal,45.4653268,-73.627692
Mississauga Library System,Bibliotheque du Boise,Montreal,45.5028475,-73.7057204
Mississauga Library System,Bibliotheque de Cartierville,Montreal,45.5271112,-73.7129921
Mississauga Library System,Bibliotheque Yves-Ryan,Montreal,45.5965109,-73.6314167
Mississauga Library System,Bibliotheque de Cote-des-Neiges,Montreal,45.4960623,-73.6221181
Mississauga Library System,Bibliotheque de la Maison culturelle et communautaire de Montreal-Nord,Montreal,45.6163039,-73.6206732
Mississauga Library System,Bibliotheque Frontenac,Montreal,45.5330176,-73.5526127
Mississauga Library System,Bibliotheque Georges-Vanier,Montreal,45.4835213,-73.5751332
Mississauga Library System,Bibliotheque du Haut-Anjou,Montreal,45.6012889,-73.575989
Mississauga Library System,Bibliotheque Henri-Bourassa,Montreal,45.6046707,-73.6251967
Mississauga Library System,Bibliotheque d'Hochelaga,Montreal,45.5427901,-73.5455177
Mississauga Library System,Bibliotheque de l'Ile des Soeurs,Montreal,45.4571408,-73.5466571
Mississauga Library System,Bibliotheque de L'Ie-Bizard,Montreal,45.489477,-73.8825461
Mississauga Library System,Bibliotheque interculturelle,Montreal,45.5032432,-73.6369045
Mississauga Library System,Bibliotheque Jean-Corbeil,Montreal,45.6029584,-73.5584036
Mississauga Library System,Bibliotheque de La Petite-Patrie,Montreal,45.5473848,-73.5982557
Mississauga Library System,Bibliotheque Langelier,Montreal,45.5817147,-73.5440686
Mississauga Library System,Bibliotheque Le Prevost,Montreal,45.5438869,-73.6145768
Mississauga Library System,Bibliotheque Maisonneuve,Montreal,45.5510555,-73.5407215
Mississauga Library System,Bibliotheque Marc-Favreau,Montreal,45.5317427,-73.5978095
Mississauga Library System,Bibliotheque Marie-Uguay,Montreal,45.4577169,-73.5955531
Mississauga Library System,Bibliotheque de Mercier,Montreal,45.5957371,-73.5233452
Mississauga Library System,Bibliotheque Mordecai-Richler,Montreal,45.5219052,-73.6015691
Mississauga Library System,Bibliotheque de Notre-Dame-de-GrÃ¢ce,Montreal,45.47551,-73.614579
Mississauga Library System,Bibliotheque L'Octogone,Montreal,45.4243396,-73.6234491
Mississauga Library System,Bibliotheque de Parc-Extension,Montreal,45.5311737,-73.6284967
Mississauga Library System,Bibliotheque Pere-Ambroise,Montreal,45.5227892,-73.5626701
Mississauga Library System,Bibliotheque de Pierrefonds,Montreal,45.4951911,-73.8471715
Mississauga Library System,Bibliotheque du Plateau-Mont-Royal,Montreal,45.5248239,-73.5823694
Mississauga Library System,Bibliotheque de Pointe-aux-Trembles,Montreal,45.6677173,-73.4944049
Mississauga Library System,Bibliotheque de Riviere-des-Prairies,Montreal,45.6496356,-73.5788179
Mississauga Library System,Bibliotheque Robert-Bourassa,Montreal,45.517746,-73.6085011
Mississauga Library System,Bibliotheque de Rosemont,Montreal,45.5515175,-73.5820184
Mississauga Library System,Bibliotheque de Roxboro,Montreal,45.5041334,-73.8133091
Mississauga Library System,Bibliotheque de Saint-Charles,Montreal,45.4788404,-73.5643984
Mississauga Library System,Bibliotheque de Saint-Henri,Montreal,45.4726771,-73.588888
Mississauga Library System,Bibliotheque du Vieux-Saint-Laurent,Montreal,45.5126898,-73.6765622
Mississauga Library System,Bibliotheque de Saint-Leonard,Montreal,45.586646,-73.5971925
Mississauga Library System,Bibliotheque de Saint-Michel,Montreal,45.562238,-73.6023914
Mississauga Library System,Bibliotheque de Saint-Pierre,Montreal,45.445771,-73.651088
Mississauga Library System,Bibliotheque De Salaberry,Montreal,45.5347082,-73.703999
Mississauga Library System,Bibliotheque Saul-Bellow,Montreal,45.4449735,-73.6709621
Mississauga Library System,Bibliotheque Jacqueline-De Repentigny ,Montreal,45.4482057,-73.5770269
Bibliotheque et Archives Nationales du Quebec,Grande Bibliotheque - Bibliotheque et Archives nationales du Quebec,Montreal,45.5154553,-73.5623129
Okanagan Regional Library District,Enderby Branch,Enderby,50.550263,-119.13802
Okanagan Regional Library District,Keremeos Branch,Keremeos,49.205148,-119.824315
Okanagan Regional Library District,Armstrong Branch,Armstrong,50.447099,-119.184194
Okanagan Regional Library District,Cherryville Branch,Cherryville,50.243805,-118.650473
Okanagan Regional Library District,Falkland Branch,Falkland,50.500371,-119.559925
Okanagan Regional Library District,Golden Branch,Golden,51.297745,-116.964029
Okanagan Regional Library District,Hedley Branch,Hedley,49.356002,-120.077808
Okanagan Regional Library District,Kaleden Branch,Kaleden,49.390167,-119.595589
Okanagan Regional Library District,Kelowna Branch,Kelowna,49.88967,-119.493544
Okanagan Regional Library District,Lumby Branch,Lumby,50.251508,-118.961189
Okanagan Regional Library District,Mission,Kelowna,49.83498,-119.482978
Okanagan Regional Library District,Naramata Branch,Naramata,49.596712,-119.600313
Okanagan Regional Library District,Okanagan Falls Branch,Okanagan Falls,49.345502,-119.577837
Okanagan Regional Library District,Lake Country Branch,Lake Country,50.030339,-119.40189
Okanagan Regional Library District,North Shuswap,Scotch Creek,50.910819,-119.4564
Okanagan Regional Library District,Oliver Branch,Oliver,49.183,-119.549147
Okanagan Regional Library District,Osoyoos Branch,Osoyoos,49.029649,-119.465142
Okanagan Regional Library District,Oyama Branch,Oyama,50.109279,-119.375895
Okanagan Regional Library District,Peachland Branch,Peachland,49.785926,-119.717785
Okanagan Regional Library District,Princeton Branch,Princeton,49.459208,-120.508549
Okanagan Regional Library District,Revelstoke Branch,Revelstoke,50.99883,-118.198969
Okanagan Regional Library District,Rutland,Kelowna,49.888972,-119.391389
Okanagan Regional Library District,Salmon Arm Branch,Salmon Arm,50.6926,-119.298671
Okanagan Regional Library District,Sicamous Branch,Sicamous,50.391909,-119.22017
Okanagan Regional Library District,Silver Creek,Salmon Arm,50.692675,-119.332208
Okanagan Regional Library District,South Shuswap Branch,Blind Bay,50.788946,-119.082322
Okanagan Regional Library District,Summerland Branch,Summerland,49.600772,-119.678358
Okanagan Regional Library District,Vernon Branch,Vernon,50.265328,-119.271476
Okanagan Regional Library District,Westbank Branch,West Kelowna,49.840048,-119.629779
Richmond Public Library,Brighouse (Main) Branch,Richmond,49.16293,-123.142625
Richmond Public Library,Ironwood Branch,Richmond,49.133322,-123.095352
Richmond Public Library,Steveston Branch,Richmond,49.125177,-123.178441
Richmond Public Library,Cambie Branch,Richmond,49.184558,-123.095055
Surrey Public Library,City Centre,Surrey,49.19131,-122.849808
Surrey Public Library,Cloverdale,Surrey,49.107276,-122.760497
Surrey Public Library,Fleetwood,Surrey,49.155404,-122.779226
Surrey Public Library,Guildford,Surrey,49.193243,-122.803609
Surrey Public Library,Newton,Surrey,49.129975,-122.838988
Surrey Public Library,Ocean Park,Surrey,49.033003,-122.8656
Surrey Public Library,Port Kells,Surrey,49.16281,-122.790169
Surrey Public Library,Semiahmoo Library,Surrey,49.035002,-122.801187
Surrey Public Library,Strawberry Hill,Surrey,49.136445,-122.884575
Vancouver Island Regional Library,Headquarters,Nanaimo,49.234736,-124.038734
Vancouver Island Regional Library,Bella Coola Branch,Bella Coola,52.37201,-126.757864
Vancouver Island Regional Library,Bowser Branch,Bowser,49.435724,-124.67665
Vancouver Island Regional Library,Campbell River Branch,Campbell River,50.027378,-125.245379
Vancouver Island Regional Library,Chemainus Branch,Chemainus,48.922375,-123.718821
Vancouver Island Regional Library,Comox Branch,Comox,49.671709,-124.923911
Vancouver Island Regional Library,Cortes Island Branch,Mansons Landing,50.067433,-124.982959
Vancouver Island Regional Library,Courtenay Branch,Courtenay,49.690244,-124.997863
Vancouver Island Regional Library,Cowichan Branch,Duncan,48.7821,-123.704142
Vancouver Island Regional Library,Cowichan Lake Branch,Lake Cowichan,48.82478,-124.05367
Vancouver Island Regional Library,Cumberland Branch,Cumberland,49.619054,-125.028427
Vancouver Island Regional Library,Gabriola Island Branch,Gabriola Island,49.049587,-124.176893
Vancouver Island Regional Library,Gold River Branch,Gold River,49.78481,-126.054164
Vancouver Island Regional Library,Hornby Island Branch,Hornby Island,49.53205,-124.664679
Vancouver Island Regional Library,Ladysmith Branch,Ladysmith,48.995162,-123.820195
Vancouver Island Regional Library,Masset Branch,Masset,54.013335,-132.151854
Vancouver Island Regional Library,Nanaimo Harbourfront Branch,Nanaimo,49.165401,-123.936855
Vancouver Island Regional Library,Nanaimo North,Woss,50.217,-126.59
Vancouver Island Regional Library,Nanaimo Wellington Branch,Nanaimo,49.20783,-124.004216
Vancouver Island Regional Library,Parksville Branch,Parksville,49.31833,-124.312432
Vancouver Island Regional Library,Port Alberni Branch,Port Alberni,49.233985,-124.807574
Vancouver Island Regional Library,Port Alice Branch,Port Alice,50.42545,-127.486774
Vancouver Island Regional Library,Port Clements Branch,Port Clements,53.68779,-132.16135
Vancouver Island Regional Library,Port Hardy Branch,Port Hardy,50.721093,-127.492257
Vancouver Island Regional Library,Port McNeill Branch,Port McNeill,50.589665,-127.08667
Vancouver Island Regional Library,Port Renfrew Branch,Port Renfrew,48.576422,-124.40907
Vancouver Island Regional Library,Quadra Island Branch,Quadra Island,50.101533,-125.213598
Vancouver Island Regional Library,Qualicum Beach Branch,Qualicum Beach,49.347486,-124.444331
Vancouver Island Regional Library,Queen Charlotte Branch,Queen Charlotte City,53.266063,-132.12209
Vancouver Island Regional Library,Sandspit Branch,Sandspit,53.23702,-131.844091
Vancouver Island Regional Library,Sayward Branch,Sayward,50.378652,-125.95894
Vancouver Island Regional Library,Sidney/North Saanich Branch,Sidney,48.655232,-123.402751
Vancouver Island Regional Library,Sointula Branch,Sointula,50.641414,-127.028812
Vancouver Island Regional Library,Sooke Branch,Sooke,48.379663,-123.7192
Vancouver Island Regional Library,South Cowichan Branch,Mill Bay,48.6526,-123.5587
Vancouver Island Regional Library,Tahsis Branch,Tahsis,49.923965,-126.661451
Vancouver Island Regional Library,Tofino Branch,Tofino,49.153938,-125.907328
Vancouver Island Regional Library,Ucluelet Branch,Ucluelet,48.945053,-125.558933
Vancouver Island Regional Library,Union Bay Branch,Union Bay,49.618,-124.89
Vancouver Island Regional Library,Woss Branch,Woss,50.217,-126.59
Vancouver Public Library,Britannia Branch,Vancouver,49.274931,-123.070318
Vancouver Public Library,Carnegie Branch,Vancouver,49.281272,-123.099827
Vancouver Public Library,Champlain Heights Branch,Vancouver,49.218627,-123.041505
Vancouver Public Library,Collingwood Branch,Vancouver,49.236137,-123.04283
Vancouver Public Library,Dunbar Branch,Vancouver,49.245986,-123.1853
Vancouver Public Library,Firehall Branch,Vancouver,49.262674,-123.137671
Vancouver Public Library,Fraserview Branch,Vancouver,49.219808,-123.067061
Vancouver Public Library,Hastings Branch,Vancouver,49.281101,-123.050147
Vancouver Public Library,Joe Fortes Branch,Vancouver,49.290776,-123.136434
Vancouver Public Library,Kensington Branch,Vancouver,49.249333,-123.076218
Vancouver Public Library,Kerrisdale Branch,Vancouver,49.233618,-123.156225
Vancouver Public Library,Kitsilano Branch,Vancouver,49.26465,-123.16854
Vancouver Public Library,Marpole Branch,Vancouver,49.210001,-123.14029
Vancouver Public Library,Mount Pleasant Branch,Vancouver,49.264073,-123.100364
Vancouver Public Library,neca?mat ct Strathcona Branch,Vancouver,49.25454615,-123.1072302
Vancouver Public Library,Oakridge Branch,Vancouver,49.233625,-123.12042
Vancouver Public Library,Renfrew Branch,Vancouver,49.250885,-123.04287
Vancouver Public Library,South Hill Branch,Vancouver,49.2296,-123.090547
Vancouver Public Library,Strathcona Branch,Vancouver,49.280215,-123.091958
Vancouver Public Library,Terry Salman Branch,Vancouver,49.254571,-123.107211
Vancouver Public Library,West Point Grey Branch,Vancouver,49.26388,-123.20762
Vancouver Public Library,Central Library,Vancouver,49.280404,-123.115175
Vancouver Public Library,Accessible Services,Vancouver,49.279222,-123.11624
